"agency_cd","site_no","dateTime","X_00045_00006","X_00045_00006_cd","X_00060_00003","X_00060_00003_cd","X_00065_00003","X_00065_00003_cd","tz_cd"
"USGS","03456500",1954-05-20,NA,NA,103,"A",NA,NA,"UTC"
"USGS","03456500",1954-05-21,NA,NA,99,"A",NA,NA,"UTC"
"USGS","03456500",1954-05-22,NA,NA,90,"A",NA,NA,"UTC"
"USGS","03456500",1954-05-23,NA,NA,83,"A",NA,NA,"UTC"
"USGS","03456500",1954-05-24,NA,NA,80,"A",NA,NA,"UTC"
"USGS","03456500",1954-05-25,NA,NA,77,"A",NA,NA,"UTC"
"USGS","03456500",1954-05-26,NA,NA,75,"A",NA,NA,"UTC"
"USGS","03456500",1954-05-27,NA,NA,72,"A",NA,NA,"UTC"
"USGS","03456500",1954-05-28,NA,NA,79,"A",NA,NA,"UTC"
"USGS","03456500",1954-05-29,NA,NA,74,"A",NA,NA,"UTC"
"USGS","03456500",1954-05-30,NA,NA,80,"A",NA,NA,"UTC"
"USGS","03456500",1954-05-31,NA,NA,68,"A",NA,NA,"UTC"
"USGS","03456500",1954-06-01,NA,NA,66,"A",NA,NA,"UTC"
"USGS","03456500",1954-06-02,NA,NA,65,"A",NA,NA,"UTC"
"USGS","03456500",1954-06-03,NA,NA,66,"A",NA,NA,"UTC"
"USGS","03456500",1954-06-04,NA,NA,65,"A",NA,NA,"UTC"
"USGS","03456500",1954-06-05,NA,NA,61,"A",NA,NA,"UTC"
"USGS","03456500",1954-06-06,NA,NA,58,"A",NA,NA,"UTC"
"USGS","03456500",1954-06-07,NA,NA,56,"A",NA,NA,"UTC"
"USGS","03456500",1954-06-08,NA,NA,54,"A",NA,NA,"UTC"
"USGS","03456500",1954-06-09,NA,NA,52,"A",NA,NA,"UTC"
"USGS","03456500",1954-06-10,NA,NA,51,"A",NA,NA,"UTC"
"USGS","03456500",1954-06-11,NA,NA,58,"A",NA,NA,"UTC"
"USGS","03456500",1954-06-12,NA,NA,55,"A",NA,NA,"UTC"
"USGS","03456500",1954-06-13,NA,NA,55,"A",NA,NA,"UTC"
"USGS","03456500",1954-06-14,NA,NA,70,"A",NA,NA,"UTC"
"USGS","03456500",1954-06-15,NA,NA,66,"A",NA,NA,"UTC"
"USGS","03456500",1954-06-16,NA,NA,75,"A",NA,NA,"UTC"
"USGS","03456500",1954-06-17,NA,NA,111,"A",NA,NA,"UTC"
"USGS","03456500",1954-06-18,NA,NA,105,"A",NA,NA,"UTC"
"USGS","03456500",1954-06-19,NA,NA,77,"A",NA,NA,"UTC"
"USGS","03456500",1954-06-20,NA,NA,68,"A",NA,NA,"UTC"
"USGS","03456500",1954-06-21,NA,NA,63,"A",NA,NA,"UTC"
"USGS","03456500",1954-06-22,NA,NA,58,"A",NA,NA,"UTC"
"USGS","03456500",1954-06-23,NA,NA,56,"A",NA,NA,"UTC"
"USGS","03456500",1954-06-24,NA,NA,54,"A",NA,NA,"UTC"
"USGS","03456500",1954-06-25,NA,NA,51,"A",NA,NA,"UTC"
"USGS","03456500",1954-06-26,NA,NA,47,"A",NA,NA,"UTC"
"USGS","03456500",1954-06-27,NA,NA,45,"A",NA,NA,"UTC"
"USGS","03456500",1954-06-28,NA,NA,43,"A",NA,NA,"UTC"
"USGS","03456500",1954-06-29,NA,NA,41,"A",NA,NA,"UTC"
"USGS","03456500",1954-06-30,NA,NA,40,"A",NA,NA,"UTC"
"USGS","03456500",1954-07-01,NA,NA,39,"A",NA,NA,"UTC"
"USGS","03456500",1954-07-02,NA,NA,40,"A",NA,NA,"UTC"
"USGS","03456500",1954-07-03,NA,NA,45,"A",NA,NA,"UTC"
"USGS","03456500",1954-07-04,NA,NA,68,"A",NA,NA,"UTC"
"USGS","03456500",1954-07-05,NA,NA,43,"A",NA,NA,"UTC"
"USGS","03456500",1954-07-06,NA,NA,40,"A",NA,NA,"UTC"
"USGS","03456500",1954-07-07,NA,NA,36,"A",NA,NA,"UTC"
"USGS","03456500",1954-07-08,NA,NA,38,"A",NA,NA,"UTC"
"USGS","03456500",1954-07-09,NA,NA,43,"A",NA,NA,"UTC"
"USGS","03456500",1954-07-10,NA,NA,48,"A",NA,NA,"UTC"
"USGS","03456500",1954-07-11,NA,NA,41,"A",NA,NA,"UTC"
"USGS","03456500",1954-07-12,NA,NA,38,"A",NA,NA,"UTC"
"USGS","03456500",1954-07-13,NA,NA,35,"A",NA,NA,"UTC"
"USGS","03456500",1954-07-14,NA,NA,34,"A",NA,NA,"UTC"
"USGS","03456500",1954-07-15,NA,NA,34,"A",NA,NA,"UTC"
"USGS","03456500",1954-07-16,NA,NA,33,"A",NA,NA,"UTC"
"USGS","03456500",1954-07-17,NA,NA,32,"A",NA,NA,"UTC"
"USGS","03456500",1954-07-18,NA,NA,31,"A",NA,NA,"UTC"
"USGS","03456500",1954-07-19,NA,NA,31,"A",NA,NA,"UTC"
"USGS","03456500",1954-07-20,NA,NA,35,"A",NA,NA,"UTC"
"USGS","03456500",1954-07-21,NA,NA,39,"A",NA,NA,"UTC"
"USGS","03456500",1954-07-22,NA,NA,38,"A",NA,NA,"UTC"
"USGS","03456500",1954-07-23,NA,NA,36,"A",NA,NA,"UTC"
"USGS","03456500",1954-07-24,NA,NA,31,"A",NA,NA,"UTC"
"USGS","03456500",1954-07-25,NA,NA,31,"A",NA,NA,"UTC"
"USGS","03456500",1954-07-26,NA,NA,34,"A",NA,NA,"UTC"
"USGS","03456500",1954-07-27,NA,NA,33,"A",NA,NA,"UTC"
"USGS","03456500",1954-07-28,NA,NA,29,"A",NA,NA,"UTC"
"USGS","03456500",1954-07-29,NA,NA,28,"A",NA,NA,"UTC"
"USGS","03456500",1954-07-30,NA,NA,28,"A",NA,NA,"UTC"
"USGS","03456500",1954-07-31,NA,NA,30,"A",NA,NA,"UTC"
"USGS","03456500",1954-08-01,NA,NA,33,"A",NA,NA,"UTC"
"USGS","03456500",1954-08-02,NA,NA,33,"A",NA,NA,"UTC"
